Town,Crop,Affected
Chongqing,Grains,1.2
Hubei,Grains,4.4
Hunan,Grains,4.7
Jiangxi,Grains,3.5
Anhui,Grains,6.4
Jiangsu,Grains,5.9
Zhejiang,Grains,1.9
Chongqing,Rice,2.3
Hubei,Rice,9.3
Hunan,Rice,12.6
Jiangxi,Rice,9.9
Anhui,Rice,7.9
Jiangsu,Rice,9.2
Zhejiang,Rice,2.3
Chongqing,Wheat,0.1
Hubei,Wheat,3.1
Hunan,Wheat,0.1
Jiangxi,Wheat,0
Anhui,Wheat,12.2
Jiangsu,Wheat,9.8
Zhejiang,Wheat,0.3
Chongqing,Corn,1
Hubei,Corn,1.3
Hunan,Corn,0.8
Jiangxi,Corn,0.1
Anhui,Corn,2.3
Jiangsu,Corn,1.2
Zhejiang,Corn,0.1
Chongqing,Soybeans,1.2
Hubei,Soybeans,2.1
Hunan,Soybeans,1.7
Jiangxi,Soybeans,1.6
Anhui,Soybeans,6.1
Jiangsu,Soybeans,3.1
Zhejiang,Soybeans,1.3
Chongqing,Vegitables,2.8
Hubei,Vegitables,5.7
Hunan,Vegitables,5.5
Jiangxi,Vegitables,2.2
Anhui,Vegitables,3.1
Jiangsu,Vegitables,7.8
Zhejiang,Vegitables,2.6
