"Category","Annual Mean","5-yr smooth"
"1901",273.94,276.65
"1902",254.85,278.17
"1903",308.98,279.99
"1904",299.63,282.4
"1905",271.32,285.69
"1906",288.63,290.15
"1907",296.04,295.93
"1908",316.8,302.07
"1909",287.53,307.2
"1910",303.13,309.92
"1911",295.93,308.84
"1912",297.76,302.76
"1913",281.64,292.82
"1914",346.69,281.75
"1915",270.74,272.27
"1916",287.36,267.14
"1917",200.44,268.99
"1918",291.71,277.58
"1919",308.02,289.69
"1920",294.41,301.92
"1921",285.2,310.89
"1922",298.87,313.23
"1923",322.23,308
"1924",360.27,298.2
"1925",251.65,287.26
"1926",304.18,278.59
"1927",250.75,275.59
"1928",269.56,280.12
"1929",279.73,289.81
"1930",293.16,301.56
"1931",357.93,312.3
"1932",292.94,318.93
"1933",323.2,319.21
"1934",318.6,314.7
"1935",310.65,308.03
"1936",288.1,301.86
"1937",299.94,298.82
"1938",305.15,301.14
"1939",338.02,307.59
"1940",285.08,315.39
"1941",301.08,321.71
"1942",342.37,323.73
"1943",329.7,318.88
"1944",302.69,307.87
"1945",321.79,293.95
"1946",242.55,280.41
"1947",257.66,270.53
"1948",284.58,267.53
"1949",276.78,272.18
"1950",278.16,282.33
"1951",308.95,295.68
"1952",301.06,309.91
"1953",349.04,322.74
"1954",324.28,332.6
"1955",277.28,339.37
"1956",349.48,343.08
"1957",420.22,343.76
"1958",301.72,341.44
"1959",345.59,336.41
"1960",339.21,329.82
"1961",330.28,322.96
"1962",255.05,317.13
"1963",322.84,313.62
"1964",318.03,313.36
"1965",355.83,315.28
"1966",280.32,317.64
"1967",357.99,318.75
"1968",330.22,316.88
"1969",342.23,310.62
"1970",237.54,301.26
"1971",192.39,291.55
"1972",388.67,284.22
"1973",266.26,282.04
"1974",294.95,287.56
"1975",316.71,299.95
"1976",361.35,315.55
"1977",292.04,330.6
"1978",284.48,341.35
"1979",327.02,344.1
"1980",339.96,338.13
"1981",346.66,326.64
"1982",409.54,313.08
"1983",308.42,300.92
"1984",257.9,293.61
"1985",231.47,293.1
"1986",310,298.09
"1987",296.23,306.88
"1988",322.33,317.74
"1989",312.1,328.99
"1990",347.77,339.03
"1991",404.09,346.71
"1992",380.61,350.95
"1993",302.45,350.7
"1994",326.06,344.9
"1995",302.99,332.91
"1996",314.89,316.77
"1997",317.64,299.47
"1998",343.15,284.01
"1999",295.51,273.39
"2000",226.99,270.3
"2001",219.21,274.25
"2002",289.16,282.83
"2003",318.72,293.64
"2004",293.25,304.24
"2005",348.64,312.29
"2006",327,317.06
"2007",304.3,319.31
"2008",277.36,319.89
"2009",363.21,319.64
"2010",279.02,319.38
"2011",306.34,319.62
"2012",352.7,320.36
"2013",351.37,321.57
"2014",286.65,323.2
"2015",385.9,325.24
"2016",349.48,327.62
"2017",275.81,330.29
"2018",253.72,333.18
"2019",365.31,336.2
"2020",373.95,339.3
