"Category","Annual Mean","5-yr smooth"
"1901",561.73,561.32
"1902",549.38,573.03
"1903",616.98,584.19
"1904",591.51,594.23
"1905",609.91,602.59
"1906",593.91,608.73
"1907",615.89,612.19
"1908",607.11,613.36
"1909",610.73,612.92
"1910",592.42,611.61
"1911",662.48,610.1
"1912",592.93,609.08
"1913",580.04,608.62
"1914",611.44,608.41
"1915",644.57,608.15
"1916",583.41,607.51
"1917",589.94,606.19
"1918",637.03,604.13
"1919",578.85,601.52
"1920",609.83,598.57
"1921",595.9,595.47
"1922",586.66,592.43
"1923",589.45,589.65
"1924",592.01,587.28
"1925",570.24,585.5
"1926",604.92,584.46
"1927",587.43,584.34
"1928",574.94,585.21
"1929",570.58,586.87
"1930",588.29,589.09
"1931",620.55,591.65
"1932",597.49,594.31
"1933",580.34,596.83
"1934",608.76,598.84
"1935",599.45,599.99
"1936",555.54,599.9
"1937",628.36,598.19
"1938",612.36,594.62
"1939",578.12,589.9
"1940",579.13,585.23
"1941",594.62,581.77
"1942",581.24,580.72
"1943",576.76,583.16
"1944",592.53,588.88
"1945",578.58,596.67
"1946",612.53,605.33
"1947",616.13,613.63
"1948",627.54,620.35
"1949",641.88,624.9
"1950",604.1,627.39
"1951",618.63,627.99
"1952",629.16,626.84
"1953",615.93,624.1
"1954",675.91,620.1
"1955",584.5,615.5
"1956",608.43,610.98
"1957",592.26,607.24
"1958",582.65,604.96
"1959",641.62,604.49
"1960",587.45,605.13
"1961",640.33,605.95
"1962",604.35,606.04
"1963",571.51,604.49
"1964",637.12,600.69
"1965",578.82,595.59
"1966",566.84,590.62
"1967",591.39,587.26
"1968",585.68,586.95
"1969",605.21,590.91
"1970",627.36,598.18
"1971",583.55,606.66
"1972",576.38,614.26
"1973",665.32,618.85
"1974",607.04,618.47
"1975",630.45,613.36
"1976",584.44,605.67
"1977",607.14,597.62
"1978",564.52,591.4
"1979",582.89,589.19
"1980",606.2,591.47
"1981",606.55,596.52
"1982",596.31,602.46
"1983",653.08,607.41
"1984",596.61,609.49
"1985",608.46,607.85
"1986",549.69,603.77
"1987",612.72,598.82
"1988",581.39,594.58
"1989",587.55,592.6
"1990",649.25,593.96
"1991",589.95,597.93
"1992",578.62,603.42
"1993",632.51,609.3
"1994",618.12,614.49
"1995",599.39,618.01
"1996",611.55,619.76
"1997",598.54,619.92
"1998",668.53,618.7
"1999",603.02,616.28
"2000",609.78,612.88
"2001",582.46,608.73
"2002",638.23,604.11
"2003",603.64,599.27
"2004",573.5,594.49
"2005",596.21,590.05
"2006",575.13,586.38
"2007",579.83,584.08
"2008",619.24,583.77
"2009",554.26,586.03
"2010",639.78,591.46
"2011",540.06,599.89
"2012",640.01,610.02
"2013",615.57,620.43
"2014",612.21,629.73
"2015",632.39,636.52
"2016",674.29,639.96
"2017",634.22,640.57
"2018",641.09,639.05
"2019",614.16,636.11
"2020",643.78,632.46
